Day,Exponential_Pred,Logistic_Pred,Richards_Pred,Gompertz_Pred,Gradient Boosting_Pred
310.0,18371.92404955176,17500.390375801024,17408.262201485704,16375.616499969812,21409.000012174274
311.0,18439.11576077073,17562.293600128767,17470.653849571972,16441.99531095634,21483.00001212583
312.0,18506.49373792183,17624.437339117972,17533.286896909645,16508.728573712782,21503.00001209285
313.0,18574.058497363352,17686.8223620247,17596.162112615482,16575.816926855005,21539.000012043813
314.0,18641.810556885022,17749.449439167223,17659.28026686028,16643.261002130028,21632.000011992437
315.0,18709.750435711954,17812.319341914495,17722.642130857315,16711.06142438504,21733.00001194133
316.0,18777.878654508626,17875.432842674443,17786.248476850546,16779.218811536648,21788.000011890992
317.0,18846.1957353829,17938.79071488211,17850.1000781028,16847.73377454061,21851.000011836084
318.0,18914.702201889995,18002.39373298768,17914.19770888374,16916.606917361925,21941.000011796415
319.0,18983.398579036497,18066.242672444343,17978.5421444577,16985.83883694535,22003.000011744956
320.0,19052.2853932844,18130.338309696042,18043.13416107143,17055.430123186186,22079.000011695876
321.0,19121.363172555146,18194.68142216505,18107.974535941616,17125.381358901617,22142.000011647455
322.0,19190.63244623362,18259.272788239425,18173.064047242322,17195.693119802312,22218.000011585413
323.0,19260.0937451723,18324.113187260304,18238.40347409226,17266.36597446449,22294.000011529253
324.0,19329.74760169522,18389.203399509075,18303.993596541935,17337.40048430238,22369.000011484935
325.0,19399.594549602123,18454.544206194372,18369.835195560598,17408.79720354099,22433.00001143646
326.0,19469.63512417252,18520.136389438958,18435.92905302314,17480.556679189423,22499.00001139032
327.0,19539.869862169813,18585.980732266446,18502.275951696723,17552.67945101443,22577.000011343684
328.0,19610.299301845385,18652.078018587854,18568.876675227362,17625.166051514483,22657.000011293905
329.0,19680.92398294274,18718.42903318804,18635.732008126306,17698.017005894195,22708.000011246404
330.0,19751.744446701632,18785.034561711982,18702.842735756298,17771.232832039157,22766.00001120865
331.0,19822.76123586223,18851.89539065089,18770.209644317663,17844.814040491125,22829.00001116203
332.0,19893.974894669227,18919.01230732819,18837.833520834243,17918.761134423723,22884.00001111123
333.0,19965.385968876093,18986.38609988535,18905.715153139212,17993.07460961841,22965.000011065807
334.0,20036.995005749195,19054.017557267525,18973.855329860697,18067.754954441003,23019.000011004013
335.0,20108.80255407199,19121.90746920911,19042.254840407273,18142.802649818437,23092.00001094544
336.0,20180.809164149272,19190.05662621908,19110.91447495332,18218.21816921608,23185.000010884432
337.0,20253.01538781135,19258.465819566216,19179.835024424166,18294.001978615393,23289.00001082227
338.0,20325.421778418306,19327.13584126414,19249.017280481126,18370.15453649196,23371.000010768144
339.0,20398.028890864225,19396.067484056228,19318.46203550638,18446.676293793993,23465.000010703858
340.0,20470.837281581422,19465.26154140035,19388.170082587687,18523.567693921228,23581.000010628846
341.0,20543.84750854475,19534.718807453457,19458.1422155029,18600.829172704187,23672.000010558022
342.0,20617.06013127585,19604.440077056,19528.379228704434,18678.461158383936,23792.00001049286
343.0,20690.47571084745,19674.426145716207,19598.881917303435,18756.464071592145,23890.000010416086
344.0,20764.094809887647,19744.677809594188,19669.651077053884,18834.83832533165,23987.000010349228
345.0,20837.91799258424,19815.19586548589,19740.687504336533,18913.584324957395,24099.000010277476
346.0,20911.94582468905,19885.98111080686,19811.991996142613,18992.70246815776,24206.000010215346
347.0,20986.17887352223,19957.03434357594,19883.565350057495,19072.193144936347,24275.000010151423
348.0,21060.61770797665,20028.35636239863,19955.408364244064,19152.05673759415,24371.000010074215
349.0,21135.26289852224,20099.94796645048,20027.52183742601,19232.29362071214,24472.000010005813
