Day,Exponential_Pred,Logistic_Pred,Richards_Pred,Gompertz_Pred,Simple Average_Pred
254.0,14891.16625944234,14394.472073306475,14276.406962396615,13201.46671606079,14190.878002801554
255.0,14948.70876694817,14444.096954727967,14326.470677623976,13249.211276225016,14242.121918881283
256.0,15006.410791280778,14493.921265902762,14376.734702617772,13297.26468553927,14293.582861335144
257.0,15064.272774645746,14543.945702065483,14427.199732894522,13345.627906771231,14345.261529094245
258.0,15122.295160474518,14594.170959963289,14477.866465476427,13394.301898106642,14397.15862100522
259.0,15180.478393427802,14644.597737850807,14528.735598886296,13443.287613100383,14449.274835816323
260.0,15238.822919398976,14695.226735485052,14579.80783314242,13492.58600062779,14501.610872163561
261.0,15297.329185517498,14746.05865412016,14631.083869753293,13542.198004836224,14554.167428556793
262.0,15355.997640152342,14797.094196502112,14682.56441171232,13592.12456509686,14606.945203365907
263.0,15414.828732915437,14848.334066863277,14734.250163492325,13642.366615956747,14659.944894806948
264.0,15473.822914665092,14899.778970916926,14786.141831040031,13692.925087091113,14713.16720092829
265.0,15532.980637509481,14951.429615851594,14838.240121770436,13743.800903255926,14766.61281959686
266.0,15592.302354810086,15003.286710325381,14890.545744561045,13794.99498424069,14820.2824484843
267.0,15651.788521185175,15055.350964460116,14943.059409746058,13846.508244821565,14874.176785053227
268.0,15711.439592513296,15107.623089835453,14995.781829110398,13898.341594714684,14928.296526543458
269.0,15771.256025936746,15160.103799482835,15048.71371588368,13950.495938529759,14982.642369958256
270.0,15831.23827986512,15212.793807879381,15101.855784734063,14002.972175723988,15037.215012050638
271.0,15891.386813978781,15265.693830941635,15155.20875176199,14055.771200556232,15092.01514930966
272.0,15951.702089232393,15318.804586019261,15208.773334493839,14108.893902041396,15147.043477946721
273.0,16012.184567858458,15372.126791888568,15262.55025187544,14162.341163905214,15202.30069388192
274.0,16072.834713370878,15425.661168745992,15316.540224265527,14216.11386453922,15257.787492730404
275.0,16133.652990568466,15479.408438201417,15370.743973429046,14270.21287695604,15313.504569788744
276.0,16194.639865538538,15533.369323271438,15425.162222530362,14324.639068745015,15369.45262002134
277.0,16255.795805660477,15587.544548372456,15479.795696126388,14379.393302028016,15425.632338046833
278.0,16317.121279609317,15641.934839313737,15534.645120159566,14434.476433415693,15482.044418124578
279.0,16378.61675735933,15696.540923290282,15589.711221950749,14489.88931396389,15538.689554141063
280.0,16440.282710187636,15751.363528875665,15644.994730191984,14545.632789130454,15595.568439596434
281.0,16502.119610677797,15806.403386014672,15700.496374939166,14601.707698732322,15652.68176759099
282.0,16564.12793272346,15861.66122601593,15756.216887604603,14658.114876902906,15710.030230811724
283.0,16626.308151531968,15917.137781544314,15812.157000949454,14714.855152049793,15767.614521518883
284.0,16688.660743628032,15972.83378661334,15868.317449076016,14771.929346812776,15825.435331532542
285.0,16751.186186857347,16028.74997657736,15924.698967419987,14829.338278022173,15883.493352219217
286.0,16813.884960390278,16084.887088123709,15981.302292742517,14887.082756657515,15941.789274478506
287.0,16876.75754472553,16141.245859264674,16038.128163122212,14945.163587806492,16000.323788729727
288.0,16939.80442169381,16197.827029329419,16095.177317946975,15003.581570624254,16059.097584898616
289.0,17003.02607446155,16254.631338955702,16152.450497905756,15062.33749829308,16118.111352404023
290.0,17066.422987534603,16311.659530081566,16209.948444980173,15121.432157982297,16177.36578014466
291.0,17129.99564676191,16368.91234593683,16267.671902436023,15180.866330808603,16236.861556485841
292.0,17193.744539339303,16426.390531034536,16325.621614814654,15240.640791796683,16296.599369246294
293.0,17257.670153813175,16484.094831162183,16383.798327924234,15300.756309840166,16356.57990568494
294.0,17321.772980084254,16542.025993372958,16442.202788830906,15361.21364766296,16416.80385248777
295.0,17386.05350941134,16600.184765976715,16500.83574584978,15422.013561780866,16477.271895754675
296.0,17450.51223441509,16658.571898530943,16559.697948535842,15483.15680246361,16537.984720986373
297.0,17515.14964908178,16717.188141831528,16618.790147674736,15544.644113697152,16598.9430130713
298.0,17579.96624876709,16776.03424790345,16678.11309527338,15606.476233146393,16660.147456272578
299.0,17644.9625301999,16835.110969991314,16737.66754455054,15668.6538921182,16721.59873421499
300.0,17710.13899148611,16894.419062549765,16797.454249927167,15731.17781552484,16783.29752987197
301.0,17775.496132112443,16953.95928123379,16857.473967016696,15794.048721847688,16845.244525552655
302.0,17841.03445295027,17013.73238288889,16917.727452615192,15857.267323101358,16907.44040288893
303.0,17906.754456259474,17073.739125541095,16978.21546469133,15920.834324798176,16969.88584282252
304.0,17972.656645692256,17133.98026838689,17038.938762376325,15984.750425912987,17032.581525592115
305.0,18038.74152629704,17194.456571782965,17099.898105953635,16049.016318848395,17095.528130720508
306.0,18105.009604522318,17255.168797235907,17161.094256848603,16113.632689400281,17158.72633700178
307.0,18171.461388220527,17316.117707391662,17222.527977617956,16178.60021672376,17222.176822488476
308.0,18238.097386651963,17377.30406602496,17284.200031939145,16243.919573299463,17285.88026447888
309.0,18304.918110488667,17438.728638028515,17346.111184599577,16309.591424900218,17349.837339504244
310.0,18371.924071818336,17500.392189402206,17408.262201485704,16375.616430558104,17414.04872331609
311.0,18439.115784148267,17562.29548724198,17470.653849571972,16441.99524253185,17478.515090873516
312.0,18506.493762409264,17624.439299728772,17533.286896909645,16508.728506274638,17543.23711633058
313.0,18574.058522959614,17686.824396117143,17596.162112615482,16575.8168604023,17608.215473023636
314.0,18641.810583589024,17749.451546723914,17659.28026686028,16643.260936661834,17673.450833458766
315.0,18709.750463522592,17812.32152291654,17722.642130857315,16711.061359900377,17738.943869299204
316.0,18777.878683424795,17875.435097101457,17786.248476850546,16779.218748034516,17804.69525135283
317.0,18846.19576540347,17938.793042712197,17850.1000781028,16847.733712019966,17870.705649559608
318.0,18914.702233013817,18002.396134197435,17914.19770888374,16916.60685582171,17936.975732979176
319.0,18983.39861126242,18066.245147008834,17978.5421444577,16985.83877638444,18003.50616977835
320.0,19052.285426611248,18130.340857588802,18043.13416107143,17055.430063603453,18070.297627218733
321.0,19121.363206981718,18194.68404335806,18107.974535941616,17125.38130029588,18137.350771644316
322.0,19190.63248175873,18259.27548270311,18173.064047242322,17195.693062172366,18204.666268469133
323.0,19260.09378179472,18324.115954963527,18238.40347409226,17266.365917809115,18272.244782164908
324.0,19329.747639413716,18389.206240419124,18303.993596541935,17337.400428620283,18340.086976248764
325.0,19399.594588415446,18454.547120276944,18369.835195560598,17408.79714883088,18408.193513270966
326.0,19469.63516407941,18520.139376658168,18435.92905302314,17480.55662544995,18476.565054802668
327.0,19539.869903168987,18585.983792584775,18502.275951696723,17552.679398244225,18545.202261423678
328.0,19610.29934393555,18652.081151966195,18568.876675227362,17625.165999712146,18614.105792710314
329.0,19680.92402612258,18718.43223958564,18635.732008126306,17698.016955058287,18683.276307223205
330.0,19751.744490969828,18785.03784108646,18702.842735756298,17771.232782168205,18752.714462495198
331.0,19822.761281217423,18851.898742958216,18770.209644317663,17844.813991583622,18822.420915019233
332.0,19893.97494111007,18919.015732522683,18837.833520834243,17918.76108647813,18892.396320236283
333.0,19965.386016401215,18986.38959791964,18905.715153139212,17993.07456263317,18962.641332523308
334.0,20036.995054357198,19054.021128092587,18973.855329860697,18067.7549084145,19033.156605181244
335.0,20108.802603761476,19121.91111277422,19042.254840407273,18142.802604749042,19103.942790423003
336.0,20180.809214918812,19190.06034247183,19110.91447495332,18218.218125102125,19175.00053936152
337.0,20253.015439659514,19258.469608452462,19179.835024424166,18294.00193545517,19246.33050199783
