date,time_idx,best_model_forecast,best_ensemble_forecast,lower_bound_ci,upper_bound_ci
2026-05-17,1010.0,137847.35011116345,87772.51189354128,113229.29896048016,161268.73401780296
2026-05-24,1011.0,138067.55292368447,87777.04035158506,113447.98179356741,161463.82157738003
2026-05-31,1012.0,138287.47721940378,87792.30057283229,113666.53086170171,161658.5086657388
2026-06-07,1013.0,138507.1212813171,87826.05697716898,113884.94405112772,161852.79444830815
2026-06-14,1014.0,138726.48340248325,87829.18231726499,114103.21925360512,162046.67810223027
2026-06-21,1015.0,138945.5618860659,87835.32273899333,114321.35436648647,162240.15881634728
2026-06-28,1016.0,139164.35504537413,87860.8414253651,114539.34729279485,162433.23579118587
2026-07-05,1017.0,139382.86120390263,87869.28942517696,114757.19594130098,162625.9082389428
2026-07-12,1018.0,139601.0786953709,87879.66611042139,114974.89822659978,162818.1753834685
2026-07-19,1019.0,139819.0058637619,88596.45141069972,115192.45206918642,163010.03646025097
2026-07-26,1020.0,140036.64106335986,88596.4507773988,115409.85539553208,163201.26994567818
2026-08-02,1021.0,140253.98265878734,88481.85960902886,115627.10613815904,163390.80479065972
2026-08-09,1022.0,140471.02902504164,88481.65654046813,115844.20223571517,163579.9320915136
2026-08-16,1023.0,140687.7785475305,88482.32909534904,116061.14163304822,163768.65115878865
2026-08-23,1024.0,140904.22962210677,88483.47529677056,116277.92228127932,163965.8506619193
2026-08-30,1025.0,141120.38065510278,88482.8826370026,116494.54213787601,164173.16022638744
2026-09-06,1026.0,141336.2300633637,88481.37531320572,116710.99916672488,164381.45460448187
2026-09-13,1027.0,141551.77627428024,88481.77838893146,116927.97782261958,164589.2866161109
2026-09-20,1028.0,141767.01772582045,88482.4838327898,117145.07325864007,164796.65532667012
2026-09-27,1029.0,141981.95286656113,88481.56703089263,117362.00120256617,165003.55981649924
2026-10-04,1030.0,142196.58015571826,88487.16749684594,117578.75962327751,165209.99918085817
2026-10-11,1031.0,142410.89806317657,88526.72191466442,117795.34649640051,165415.97252990125
2026-10-18,1032.0,142624.9050695188,87934.37613897363,118011.75980437912,165621.47898865174
2026-10-25,1033.0,142838.59966605375,87934.25403834114,118227.99753654483,165826.5176969747
2026-11-01,1034.0,143051.98035484392,87936.37520769016,118444.05768918629,166031.08780954924
2026-11-08,1035.0,143265.04564873234,87941.83459597806,118659.93826561821,166233.01284336668
2026-11-15,1036.0,143477.79407136855,87933.85821758298,118875.63727624986,166401.84163495843
2026-11-22,1037.0,143690.22415723398,87934.49668717722,119091.15273865273,166570.2447455472
2026-11-29,1038.0,143902.33445166663,87936.72271667738,119306.48267762798,166754.87956932353
2026-12-06,1039.0,144114.12351088473,87840.25122081337,119521.62512527293,166951.3614389879
2026-12-13,1040.0,144325.58990201016,87866.20847801963,119736.57812104716,167147.37927300154
2026-12-20,1041.0,144536.7322030907,87866.31301018634,119951.33971183807,167342.93250289327
2026-12-27,1042.0,144747.54900312176,87818.08529155687,120165.90795202559,167538.02057336547
2027-01-03,1043.0,144958.03890206738,88559.03025369253,120386.15905611358,167732.6429422541
2027-01-10,1044.0,145168.20051088036,88558.91704319007,120631.27824151459,167926.79908048734
2027-01-17,1045.0,145378.03245152198,88512.09797390524,120876.2298205074,168120.48847204424
2027-01-24,1046.0,145587.53335698068,88459.53428966735,121121.01116158177,168313.71061391252
2027-01-31,1047.0,145796.70187129008,88367.46396370372,121365.61964100736,168506.46501604596
2027-02-07,1048.0,146005.53664954653,88144.91079741315,121610.05264294046,168698.7512013212
2027-02-14,1049.0,146214.03635792562,88144.89188996787,121854.30755952996,168916.01719822048
2027-02-21,1050.0,146422.19967369808,88144.86000203251,122098.38179102264,169136.89858745836
2027-02-28,1051.0,146630.02528524515,88146.20146582127,122342.27274586738,169357.36900382605
2027-03-07,1052.0,146837.51189207303,83633.66677114237,122585.97784081909,169576.8466066705
2027-03-14,1053.0,147044.65820482664,83538.92198500136,122829.49450104145,169784.58346223968
